,comp1,comp2,w
476,2012.comp.600036,2012.comp.601919,2
477,2013.comp.24,2013.comp.24,28
478,2013.comp.24,2013.comp.600239,1
479,2013.comp.24,2013.comp.600266,1
480,2013.comp.24,2013.comp.601872,2
481,2013.comp.600036,2013.comp.601318,1
482,2013.comp.600036,2013.comp.600036,45
483,2013.comp.600036,2013.comp.37,1
484,2013.comp.600036,2013.comp.600028,1
485,2013.comp.600036,2013.comp.601398,2
486,2013.comp.600036,2013.comp.600026,1
487,2013.comp.600036,2013.comp.600896,2
488,2013.comp.600036,2013.comp.601866,2
489,2013.comp.600036,2013.comp.600999,4
490,2013.comp.600036,2013.comp.600104,1
491,2013.comp.600036,2013.comp.601800,1
492,2013.comp.600036,2013.comp.601872,1
493,2014.comp.24,2014.comp.24,29
494,2014.comp.24,2014.comp.600036,1
495,2014.comp.24,2014.comp.600999,2
496,2014.comp.24,2014.comp.2129,1
497,2014.comp.24,2014.comp.600685,1
498,2014.comp.24,2014.comp.601872,5
499,2014.comp.600036,2014.comp.601318,1
500,2014.comp.600036,2014.comp.24,1
501,2014.comp.600036,2014.comp.600036,49
502,2014.comp.600036,2014.comp.600999,5
503,2014.comp.600036,2014.comp.601866,2
504,2014.comp.600036,2014.comp.600026,2
505,2014.comp.600036,2014.comp.600896,1
506,2014.comp.600036,2014.comp.601800,1
507,2014.comp.600036,2014.comp.600104,1
508,2014.comp.600036,2014.comp.601872,3
509,2014.comp.600999,2014.comp.24,2
510,2014.comp.600999,2014.comp.600036,5
511,2014.comp.600999,2014.comp.600999,35
512,2014.comp.600999,2014.comp.600027,1
513,2014.comp.600999,2014.comp.601872,2
514,2020.comp.25,2020.comp.25,18
515,2020.comp.25,2020.comp.300319,1
516,2020.comp.300917,2020.comp.300917,16
517,2020.comp.300917,2020.comp.70,1
518,2020.comp.300917,2020.comp.300815,1
519,2008.comp.26,2008.comp.26,17
520,2008.comp.26,2008.comp.43,5
521,2008.comp.26,2008.comp.50,5
522,2008.comp.43,2008.comp.26,5
523,2008.comp.43,2008.comp.43,21
524,2008.comp.43,2008.comp.50,6
525,2009.comp.26,2009.comp.26,20
526,2009.comp.26,2009.comp.43,3
527,2009.comp.26,2009.comp.50,4
528,2009.comp.43,2009.comp.26,3
529,2009.comp.43,2009.comp.43,21
530,2009.comp.43,2009.comp.50,4
531,2009.comp.43,2009.comp.600650,1
532,2010.comp.26,2010.comp.26,17
533,2010.comp.26,2010.comp.2419,3
534,2010.comp.26,2010.comp.43,2
535,2010.comp.26,2010.comp.50,4
536,2010.comp.2419,2010.comp.26,3
537,2010.comp.2419,2010.comp.2419,23
538,2010.comp.2419,2010.comp.43,1
539,2010.comp.2419,2010.comp.50,2
540,2011.comp.26,2011.comp.26,18
541,2011.comp.26,2011.comp.2419,2
542,2011.comp.26,2011.comp.43,3
543,2011.comp.26,2011.comp.50,4
544,2011.comp.2419,2011.comp.26,2
545,2011.comp.2419,2011.comp.2419,20
546,2011.comp.2419,2011.comp.43,1
547,2011.comp.2419,2011.comp.50,2
548,2011.comp.43,2011.comp.26,3
549,2011.comp.43,2011.comp.2419,1
550,2011.comp.43,2011.comp.43,22
551,2011.comp.43,2011.comp.50,2
552,2011.comp.43,2011.comp.900929,1
553,2012.comp.26,2012.comp.26,23
554,2012.comp.26,2012.comp.2419,5
555,2012.comp.26,2012.comp.43,3
556,2012.comp.26,2012.comp.50,4
557,2012.comp.2419,2012.comp.26,5
558,2012.comp.2419,2012.comp.2419,21
559,2012.comp.2419,2012.comp.43,3
560,2012.comp.2419,2012.comp.50,3
561,2012.comp.43,2012.comp.26,3
562,2012.comp.43,2012.comp.2419,3
563,2012.comp.43,2012.comp.43,23
564,2012.comp.43,2012.comp.50,2
565,2012.comp.43,2012.comp.900929,1
566,2013.comp.26,2013.comp.26,17
567,2013.comp.26,2013.comp.2419,3
568,2013.comp.26,2013.comp.43,4
569,2013.comp.26,2013.comp.50,2
570,2013.comp.300114,2013.comp.300114,18
571,2013.comp.300114,2013.comp.721,1
572,2013.comp.2419,2013.comp.26,3
573,2013.comp.2419,2013.comp.2419,21
574,2013.comp.2419,2013.comp.43,3
575,2013.comp.2419,2013.comp.50,2
576,2013.comp.43,2013.comp.26,4
577,2013.comp.43,2013.comp.2419,3
578,2013.comp.43,2013.comp.43,27
579,2013.comp.43,2013.comp.50,3
580,2014.comp.26,2014.comp.26,22
581,2014.comp.26,2014.comp.2419,4
582,2014.comp.26,2014.comp.43,3
583,2014.comp.26,2014.comp.50,3
584,2014.comp.300114,2014.comp.300114,19
585,2014.comp.300114,2014.comp.721,1
586,2014.comp.300114,2014.comp.637,1
587,2014.comp.300114,2014.comp.768,1
588,2014.comp.300114,2014.comp.2013,2
589,2014.comp.300114,2014.comp.600316,1
590,2014.comp.2419,2014.comp.26,4
591,2014.comp.2419,2014.comp.2419,20
592,2014.comp.2419,2014.comp.43,3
593,2014.comp.2419,2014.comp.50,2
594,2014.comp.2419,2014.comp.2008,1
595,2014.comp.43,2014.comp.26,3
596,2014.comp.43,2014.comp.2419,3
597,2014.comp.43,2014.comp.43,21
598,2014.comp.43,2014.comp.50,3
599,2015.comp.26,2015.comp.26,18
600,2015.comp.26,2015.comp.2419,4
601,2015.comp.26,2015.comp.43,5
602,2015.comp.26,2015.comp.50,4
603,2015.comp.26,2015.comp.2163,1
604,2015.comp.2419,2015.comp.26,4
605,2015.comp.2419,2015.comp.2419,23
606,2015.comp.2419,2015.comp.43,4
607,2015.comp.2419,2015.comp.50,3
608,2015.comp.2419,2015.comp.2456,1
609,2015.comp.43,2015.comp.26,5
610,2015.comp.43,2015.comp.2419,4
611,2015.comp.43,2015.comp.43,21
612,2015.comp.43,2015.comp.50,5
613,2016.comp.26,2016.comp.26,23
614,2016.comp.26,2016.comp.2419,3
615,2016.comp.26,2016.comp.43,4
616,2016.comp.26,2016.comp.50,3
617,2016.comp.2419,2016.comp.26,3
618,2016.comp.2419,2016.comp.2419,23
619,2016.comp.2419,2016.comp.43,4
620,2016.comp.2419,2016.comp.50,3
621,2016.comp.2419,2016.comp.2008,1
622,2016.comp.2419,2016.comp.2456,1
623,2016.comp.2419,2016.comp.600436,1
624,2016.comp.43,2016.comp.26,4
625,2016.comp.43,2016.comp.2419,4
626,2016.comp.43,2016.comp.43,23
627,2016.comp.43,2016.comp.50,5
628,2017.comp.26,2017.comp.26,23
629,2017.comp.26,2017.comp.2419,5
630,2017.comp.26,2017.comp.43,4
631,2017.comp.26,2017.comp.50,5
632,2017.comp.26,2017.comp.2916,6
633,2017.comp.2419,2017.comp.26,5
634,2017.comp.2419,2017.comp.2419,22
635,2017.comp.2419,2017.comp.43,4
636,2017.comp.2419,2017.comp.50,5
637,2017.comp.2419,2017.comp.2916,4
638,2017.comp.2419,2017.comp.600436,1
639,2017.comp.43,2017.comp.26,4
640,2017.comp.43,2017.comp.2419,4
641,2017.comp.43,2017.comp.43,26
642,2017.comp.43,2017.comp.50,5
643,2017.comp.43,2017.comp.2916,4
644,2018.comp.26,2018.comp.26,22
645,2018.comp.26,2018.comp.2419,3
646,2018.comp.26,2018.comp.2916,5
647,2018.comp.26,2018.comp.43,2
648,2018.comp.26,2018.comp.50,4
649,2018.comp.26,2018.comp.300413,1
650,2018.comp.2419,2018.comp.26,3
651,2018.comp.2419,2018.comp.2419,20
652,2018.comp.2419,2018.comp.2916,3
653,2018.comp.2419,2018.comp.43,2
654,2018.comp.2419,2018.comp.50,3
655,2018.comp.2419,2018.comp.600970,1
656,2018.comp.2419,2018.comp.63,1
657,2018.comp.2916,2018.comp.26,5
658,2018.comp.2916,2018.comp.2419,3
659,2018.comp.2916,2018.comp.2916,19
660,2018.comp.2916,2018.comp.43,2
661,2018.comp.2916,2018.comp.50,4
662,2018.comp.43,2018.comp.26,2
663,2018.comp.43,2018.comp.2419,2
664,2018.comp.43,2018.comp.2916,2
665,2018.comp.43,2018.comp.43,18
666,2018.comp.43,2018.comp.50,2
667,2019.comp.26,2019.comp.26,21
668,2019.comp.26,2019.comp.2419,3
669,2019.comp.26,2019.comp.50,3
