0,1,2
2016.comp.66,relatedTransaction,2016.comp.21
2016.comp.66,relatedTransaction,2016.comp.32
2017.comp.66,relatedTransaction,2017.comp.600536
2017.comp.66,relatedTransaction,2017.comp.600171
2018.comp.66,relatedTransaction,2018.comp.600536
2018.comp.66,relatedTransaction,2018.comp.21
2019.comp.66,relatedTransaction,2019.comp.600171
2019.comp.66,relatedTransaction,2019.comp.600536
2019.comp.66,relatedTransaction,2019.comp.21
2020.comp.66,relatedTransaction,2020.comp.600171
2020.comp.66,relatedTransaction,2020.comp.21
2020.comp.66,relatedTransaction,2020.comp.600536
2020.comp.66,relatedTransaction,2020.comp.32
1998.comp.68,relatedTransaction,1998.comp.7
1999.comp.68,relatedTransaction,1999.comp.7
1999.comp.68,relatedTransaction,1999.comp.58
2000.comp.68,relatedTransaction,2000.comp.7
2000.comp.68,relatedTransaction,2000.comp.58
2001.comp.68,relatedTransaction,2001.comp.58
2005.comp.68,relatedTransaction,2005.comp.7
2006.comp.68,relatedTransaction,2006.comp.7
2013.comp.68,relatedTransaction,2013.comp.600100
2014.comp.68,relatedTransaction,2014.comp.600100
2015.comp.68,relatedTransaction,2015.comp.600100
2016.comp.68,relatedTransaction,2016.comp.600100
2017.comp.68,relatedTransaction,2017.comp.600100
2018.comp.68,relatedTransaction,2018.comp.600100
2019.comp.68,relatedTransaction,2019.comp.68
2019.comp.68,relatedTransaction,2019.comp.600100
2020.comp.68,relatedTransaction,2020.comp.600100
2003.comp.69,relatedTransaction,2003.comp.16
2004.comp.69,relatedTransaction,2004.comp.16
2006.comp.69,relatedTransaction,2006.comp.69
2007.comp.69,relatedTransaction,2007.comp.16
2008.comp.69,relatedTransaction,2008.comp.16
2009.comp.69,relatedTransaction,2009.comp.16
2010.comp.69,relatedTransaction,2010.comp.16
2011.comp.69,relatedTransaction,2011.comp.16
2012.comp.69,relatedTransaction,2012.comp.16
2013.comp.69,relatedTransaction,2013.comp.16
2013.comp.69,relatedTransaction,2013.comp.600239
