index,0
513,2007.comp.748
514,2007.comp.600057
515,2008.comp.600057
516,2008.comp.21
517,2009.comp.600536
518,2010.comp.748
519,2010.comp.600536
520,2011.comp.748
521,2011.comp.600536
522,2017.comp.600536
523,2017.comp.600171
524,2018.comp.600536
525,2019.comp.600171
526,2019.comp.600536
527,2020.comp.600171
528,2020.comp.600536
529,2020.comp.32
530,2005.comp.7
531,2006.comp.7
532,2013.comp.68
533,2013.comp.600100
534,2014.comp.68
535,2014.comp.600100
536,2015.comp.68
537,2015.comp.600100
538,2016.comp.68
539,2016.comp.600100
540,2017.comp.68
541,2017.comp.600100
542,2018.comp.68
543,2018.comp.600100
544,2019.comp.68
545,2019.comp.600100
546,2020.comp.68
547,2020.comp.600100
548,2003.comp.69
549,2003.comp.16
550,2004.comp.69
551,2004.comp.16
552,2006.comp.69
553,2007.comp.69
554,2007.comp.16
555,2008.comp.69
556,2008.comp.16
557,2009.comp.69
558,2009.comp.16
559,2010.comp.69
560,2010.comp.16
561,2011.comp.69
562,2011.comp.16
563,2012.comp.69
564,2013.comp.69
565,2013.comp.600239
566,2014.comp.69
567,2014.comp.600239
568,2015.comp.69
569,2015.comp.600239
570,2016.comp.600239
571,2016.comp.1979
572,2017.comp.69
573,2017.comp.16
574,2017.comp.600239
575,2018.comp.69
576,2018.comp.16
577,2018.comp.600239
578,2019.comp.69
579,2019.comp.16
580,2019.comp.600239
581,2019.comp.600383
582,2019.comp.2244
583,2020.comp.69
584,2020.comp.16
585,2003.comp.70
586,2019.comp.70
587,2019.comp.300319
588,2020.comp.70
589,2020.comp.300319
590,2003.comp.88
591,2003.comp.429
592,2012.comp.88
593,2014.comp.88
594,2014.comp.2320
595,2015.comp.88
596,2015.comp.2320
597,2016.comp.88
598,2016.comp.2320
599,2017.comp.88
600,2017.comp.2320
601,2018.comp.88
602,2018.comp.2320
603,2019.comp.88
604,2003.comp.89
605,2015.comp.89
606,2015.comp.99
607,2015.comp.601998
608,2003.comp.150
609,2003.comp.600657
610,2003.comp.600076
611,2004.comp.150
612,2004.comp.600657
613,2005.comp.150
614,2005.comp.600657
615,2006.comp.150
616,2006.comp.600657
617,2007.comp.150
618,2007.comp.600657
619,2009.comp.150
620,2009.comp.600978
621,2010.comp.150
622,2010.comp.600978
623,2011.comp.150
624,2011.comp.600978
625,2012.comp.150
626,2012.comp.600978
627,2013.comp.150
628,2013.comp.600978
629,2015.comp.150
630,2015.comp.600978
631,2016.comp.150
632,2016.comp.600978
633,2017.comp.150
634,2017.comp.600978
635,2018.comp.150
636,2018.comp.600978
637,2019.comp.150
638,2019.comp.600978
639,2011.comp.151
640,2012.comp.151
641,2012.comp.153
